id,year,spp,age
1,1991,3.577333333,25.4
2,1991,3.962666667,24.34
3,1991,3.061333333,22.1
4,1991,3.211333333,21
5,1991,3.348666667,19.9
6,1991,3.278666667,18.246
7,1991,3.574666667,18.6
8,1991,3.378,2
9,1993,3.102666667,22
10,1994,3.479333333,23
11,1994,3.652,21.8
12,1994,3.524,21.72
13,1994,3.508,19.43
14,1995,3.578,23.4
15,1995,3.637333333,20.92
16,1995,3.480666667,19.93
17,1995,3.510666667,21
18,1995,3.600666667,21
19,1996,3.43,24.4
20,1996,3.726,20.6
21,1996,3.842,19.9
22,1996,3.418,22
23,1996,3.572,23
24,1997,3.54,23.4
25,1997,3.712666667,19.8
26,1997,3.637333333,19
27,1997,3.562,19
28,1998,3.454,24.88
29,1998,3.429744681,22.8
30,1998,3.452807843,22.8
31,1998,3.728666667,22.46
32,1998,3.177,22.36
33,1998,3.43,22
34,1998,3.606666667,24
35,1999,3.546411347,18.95
36,2000,3.58,24.6
37,2000,3.346666667,25.5
38,2000,3.790666667,22.4
39,2000,3.566,21.01
40,2000,3.628666667,20.43
41,2000,3.629333333,20.37
42,2001,3.59,23.88
43,2001,3.34,20.3
44,2001,3.559333333,19
45,2001,3.605817763,18.7
46,2002,4.432,23.3
47,2002,3.543333333,20.3
48,2003,3.507333333,21.3
49,2003,3.777333333,19.73
50,2003,3.418,20.02
51,2004,3.3,23.9
52,2004,3.496,19.8
53,2004,3.702669384,19.56
54,2004,3.657333333,21
55,2005,3.225333333,21.04
56,2005,3.448,19.42
57,2005,3.605333333,21
58,2005,3.126,24
59,2006,3.304666667,21
60,2006,3.482666667,23.6
61,2006,3.503577236,22.6
62,2006,3.384,22.56
63,2006,3.654,20.3
64,2006,3.561333333,20
65,2006,3.410666667,19.74
66,2006,3.716,19
67,2007,3.658666667,21
68,2006,3.497333333,21
69,2007,3.552,23.07
70,2008,3.348,22.47
71,2007,3.583333333,22.1
72,2007,3.442,22
73,2007,3.588072607,21.59
74,2007,3.25,21.2
75,2007,3.567333333,20.14
76,2007,3.605333333,19.4
77,2007,3.49,19.38
78,2007,3.184666667,19
79,2007,3.586,18
80,2008,3.25,21.2
81,2008,3.412,19.79
82,2008,3.99,19.7
83,2008,3.68,19.65
84,2008,3.652,19.15
85,2008,3.69,18.7
86,2008,3.622,18.7
87,2008,3.469666667,18.67
88,2008,3.492666667,18.6
89,2008,3.734666667,21
90,2008,3.453333333,21
91,2009,3.439333333,21
92,2009,3.491333333,21.89
93,2009,3.63,20
94,2009,3.468,19.9
95,2009,3.529333333,19.53
96,2009,3.222,19.04
97,2010,3.51,20.6
98,2010,3.2,19.18
99,2011,3.710666667,20.7
100,2011,3.62,19.08
101,2011,3.383333333,21
102,2012,3.573333333,22.38
103,2012,3.801333333,20.3
104,2012,3.439333333,20
105,2012,3.15,19.34
106,2012,3.48,19.2
107,2013,3.467333333,22
108,2014,3.59,21
109,2014,3.688,20.3
110,2014,4.184,19.06
111,2014,3.88,18.31
112,2014,3.884,18.31
113,2014,3.74223881,22.4
114,2015,3.706666667,21
115,2015,3.628,25.3
116,2015,3.588,22.39
117,2015,3.58,21.8
118,2015,3.694,20.2
119,2015,3.76,19.9
120,2015,3.798666667,19.8
121,2015,3.8,19.7
122,2015,3.444,19.61
123,2015,3.81,19.6
124,2015,3.54,19.49
125,2015,3.35,19.15
126,2015,4.1,18.77
127,2015,3.541333333,19.26
128,2015,3.792,18.12
129,2016,4,21.6
130,2016,3.94,20.9
131,2016,4.029333333,20.7
132,2016,3.765333333,20.6
133,2016,4.034,20.6
134,2016,3.947333333,20.5
135,2016,3.881333333,20.4
136,2016,3.974,19.9
137,2007,3.520666667,25.96
138,2016,3.623333333,19.63
139,2016,4.1,18.8
140,2016,3.533333333,18.26
141,2016,3.77,19.2
142,2016,3.683333333,19.6
143,2016,3.86,18.53
144,2017,3.648666667,18.9
145,2017,3.77,19.2
146,2017,3.9,20.2
147,2016,3.81,20.2
148,2016,3.5552439,19.24
149,2017,3.92,19.5
150,2017,3.68,21.83
151,2017,3.69,19
152,2017,3.814666667,20.48
153,2017,3.8,19.8
154,2017,3.76,19.9
155,2017,3.79,20.1
156,2017,3.75,19.9
157,2017,3.764,19.9
158,2014,3.626666667,18.8
159,2008,3.926666667,21.4
