ID,Structure,Control,Exhaustion,Disconnection,Age
122,5.375,2.25,5,4.916666667,Young
6,4.75,5.25,4.6,4.861111111,Old
78,4.5,3,4.2,5.416666667,Old
89,7,3,4.2,2,Young
61,4.125,3.25,4,3,Old
67,5.25,3.25,4,3.666666667,Old
143,6,2,4,3.083333333,Young
121,5.25,2.25,3.8,3.583333333,Young
1,4.714285714,6.25,3.6,3.166666667,Old
44,4.625,3.75,3.6,1.833333333,Old
88,5.875,3,3.6,4.583333333,Young
90,2.75,2.75,3.6,4,Old
96,5,2.75,3.6,1.25,Old
156,5.375,1.75,3.6,1.166666667,Young
36,4.5,4,3.4,3,Old
37,4.875,4,3.4,3.916666667,Old
86,5.5,3,3.4,5.583333333,Old
101,6.5,2.75,3.4,1.166666667,Young
47,5.5,3.75,3.25,2.083333333,Old
4,4.75,5.75,3.2,3.861111111,Old
66,4.75,3.25,3.2,4.944444444,Old
73,6.125,3.25,3.2,4.166666667,Old
188,4.5,1,3.2,2.388888889,Young
32,4,4,3,3.75,Old
54,5,3.5,3,2.916666667,Old
57,5.625,3.5,3,3.083333333,Old
62,4.375,3.25,3,3.5,Old
68,5.25,3.25,3,4.5,Old
75,3.875,3,3,3.916666667,Young
84,5.25,3,3,4,Young
103,3.75,2.5,3,2.083333333,Young
108,5.5,2.5,3,4.833333333,Young
151,5,1.75,3,1.5,Young
155,5.25,1.75,3,3.916666667,Young
193,5.125,1,3,3.805555556,Young
3,5.125,6,2.8,1.75,Old
26,4.875,4.25,2.8,1,Old
27,5.125,4.25,2.8,6.222222222,Old
34,4.125,4,2.8,2.833333333,Old
50,3.75,3.5,2.8,4.333333333,Old
127,6.125,2.25,2.8,2.666666667,Young
145,6.25,2,2.8,1.333333333,Young
194,5.375,1,2.8,2.666666667,Young
23,4.625,4.25,2.75,1.75,Old
5,6.125,5.5,2.6,5.083333333,Old
14,5,4.75,2.6,2.5,Old
38,5.125,4,2.6,5.194444444,Old
41,6.75,4,2.6,3.5,Old
56,5.375,3.5,2.6,2.5,Old
70,5.375,3.25,2.6,3.25,Old
79,4.5,3,2.6,3,Old
82,5.125,3,2.6,3.083333333,Young
91,4,2.75,2.6,2.472222222,Young
98,5.875,2.75,2.6,3.25,Young
105,5.25,2.5,2.6,3.25,Young
140,5.875,2,2.6,2.166666667,Young
146,6.25,2,2.6,1.166666667,Young
153,5.125,1.75,2.6,1.5,Young
154,5.125,1.75,2.6,1.833333333,Young
160,5.75,1.75,2.6,2.25,Young
163,6.375,1.75,2.6,1,Young
205,5.875,1,2.6,1.916666667,Young
29,6.375,4.25,2.4,4.166666667,Young
65,4.5,3.25,2.4,3.333333333,Young
106,5.375,2.5,2.4,2.5,Young
118,4.125,2.25,2.4,3.083333333,Young
126,6,2.25,2.4,1.333333333,Young
