Condition,1,2,ID
1,1,5,1
1,3,2,2
1,1,4,3
1,1,3,4
1,5,6,5
1,2,2,6
1,2,5,7
1,3,4,8
1,4,5,9
1,6,2,10
1,3,4,11
1,1,4,12
1,1,5,13
1,3,5,14
1,5,3,15
1,5,6,16
1,3,6,17
1,1,4,18
1,5,5,19
1,2,5,20
1,4,4,21
1,5,3,22
1,2,2,23
1,1,5,24
1,1,5,25
1,2,2,26
1,1,1,27
1,3,5,28
1,3,4,29
1,5,4,30
1,5,4,31
1,3,4,32
1,1,1,33
1,4,5,34
1,2,4,35
1,3,5,36
1,2,4,37
1,2,5,38
1,3,3,39
1,4,5,40
1,2,3,41
1,3,3,42
1,4,4,43
1,4,5,44
1,2,3,45
1,3,3,46
1,2,1,47
1,1,3,48
1,2,4,49
1,5,6,50
1,1,4,51
1,4,5,52
1,1,2,53
1,2,4,54
1,1,3,55
1,2,4,56
1,2,4,57
1,5,5,58
1,4,5,59
1,4,5,60
1,2,3,61
1,3,5,62
1,2,4,63
1,1,4,64
2,4,4,65
2,2,3,66
2,7,6,67
2,4,4,68
2,5,6,69
2,4,3,70
2,6,5,71
2,5,5,72
2,5,5,73
2,5,5,74
2,7,5,75
2,3,3,76
2,5,5,77
2,6,6,78
2,3,4,79
2,2,5,80
2,5,5,81
2,4,5,82
2,3,5,83
2,4,5,84
2,5,5,85
2,5,6,86
2,4,5,87
2,5,4,88
2,1,2,89
2,5,5,90
2,5,6,91
2,6,4,92
2,4,3,93
2,4,4,94
2,4,4,95
2,3,4,96
2,5,5,97
2,5,5,98
2,4,5,99
2,2,5,100
2,5,5,101
2,3,6,102
2,4,4,103
2,3,4,104
2,3,6,105
2,4,2,106
2,2,4,107
2,5,1,108
2,6,5,109
2,6,4,110
2,6,6,111
2,6,5,112
2,4,4,113
2,5,4,114
2,6,6,115
2,5,2,116
2,2,4,117
2,3,3,118
2,6,4,119
2,5,6,120
2,3,4,121
2,5,5,122
2,1,5,123
2,5,5,124
2,5,7,125
2,4,4,126
2,3,5,127
2,6,4,128
2,4,3,129
2,6,5,130
