admit,gpa,pres
0,3.61,3
1,3.67,3
1,4,1
1,3.19,4
0,2.93,4
1,3,2
1,2.98,1
0,3.08,2
1,3.39,3
0,3.92,2
0,4,4
0,3.22,1
1,4,1
0,3.08,2
1,4,1
0,3.44,3
0,3.87,4
0,2.56,3
0,3.75,2
1,3.81,1
0,3.17,3
1,3.63,2
0,2.82,4
0,3.19,4
1,3.35,2
1,3.66,1
1,3.61,1
1,3.74,4
1,3.22,2
0,3.29,1
0,3.78,4
0,3.35,3
0,3.4,3
1,4,3
0,3.14,1
0,3.05,2
0,3.25,1
0,2.9,3
1,3.13,2
1,2.68,3
0,2.42,2
1,3.32,2
1,3.15,2
0,3.31,3
0,2.94,2
1,3.45,3
1,3.46,2
0,2.97,4
0,2.48,4
0,3.35,3
0,3.86,3
0,3.13,4
0,3.37,4
1,3.27,2
0,3.34,3
1,4,3
0,3.19,3
0,2.94,3
0,3.65,2
0,2.82,4
1,3.18,2
0,3.32,4
0,3.67,3
1,3.85,3
0,4,3
0,3.59,2
0,3.62,4
0,3.3,1
0,3.69,1
0,3.73,1
0,4,3
0,2.92,4
0,3.39,4
0,4,2
0,3.45,4
0,4,3
0,3.36,3
1,4,3
0,3.12,1
1,4,1
0,2.9,4
0,3.07,2
0,2.71,2
0,2.91,4
1,3.6,3
0,2.98,2
0,3.32,2
0,3.48,2
0,3.28,1
1,4,2
0,3.83,2
1,3.64,1
0,3.9,2
0,2.93,2
1,3.44,2
0,3.33,2
0,3.52,4
0,3.57,2
0,2.88,2
0,3.31,3
0,3.15,3
0,3.57,3
0,3.33,4
0,3.94,3
1,3.95,2
1,2.97,2
1,3.56,1
0,3.13,2
0,2.93,3
0,3.45,2
0,3.08,4
0,3.41,4
0,3,3
0,3.22,1
0,3.84,3
0,3.99,3
1,3.45,2
0,3.72,2
1,3.7,1
0,2.92,3
1,3.74,2
1,2.67,2
0,2.85,3
0,2.98,3
0,3.88,3
0,3.38,4
1,3.54,1
0,3.74,4
0,3.19,2
0,3.15,4
1,3.17,2
0,2.79,2
0,3.4,2
0,3.08,3
0,2.95,2
0,3.57,3
0,3.33,4
0,4,3
0,3.4,2
1,3.58,1
0,3.93,2
1,3.52,4
0,3.94,4
0,3.4,3
0,3.4,4
0,3.43,3
0,3.4,2
0,2.71,3
1,2.91,1
