"","Particpant","Task","Ego","Enthusiasm"
"1",35,4.71428571428571,2.5,5
"2",201,2.85714285714286,2.83333333333333,5
"3",97,3.5,2,2.25
"4",27,4.85714285714286,1.33333333333333,4
"5",149,3.57142857142857,1,4.75
"6",227,4,1,3.5
"7",31,3.14285714285714,1.16666666666667,2.5
"8",218,3.28571428571429,2.33333333333333,3.25
"9",204,3,1.66666666666667,3
"10",113,3.28571428571429,1,4.75
"11",224,3.85714285714286,1,4.75
"12",189,3,1.2,3.75
"13",127,4,3.5,4
"14",58,3.42857142857143,1.33333333333333,4
"15",249,3.42857142857143,1.33333333333333,5
"16",117,3.42857142857143,1,3.25
"17",215,3.28571428571429,3.66666666666667,3.25
"18",112,4.42857142857143,5,5
"19",213,3.14285714285714,2,3.75
"20",40,3.85714285714286,1.5,4.5
"21",13,3.85714285714286,1.16666666666667,4
"22",48,3.28571428571429,3.16666666666667,2.75
"23",62,4,1.33333333333333,4.66666666666667
"24",103,3.8,1.5,4.5
"25",33,3.42857142857143,1.66666666666667,5
"26",44,4.2,1.16666666666667,5
"27",6,4.42857142857143,3,2.75
"28",256,3,1.33333333333333,3.25
"29",192,3.71428571428571,1.33333333333333,4.5
"30",42,3.85714285714286,2.5,4
"31",211,4.14285714285714,2.16666666666667,5
"32",235,4,2.66666666666667,4.75
"33",141,4.57142857142857,2.16666666666667,4.25
"34",221,2.57142857142857,3.5,3.25
"35",210,3.42857142857143,2.66666666666667,4.75
"36",156,3.85714285714286,1.8,5
"37",184,4.57142857142857,2.5,5
"38",155,3.28571428571429,1.66666666666667,2.75
"39",15,4,2.16666666666667,3.25
"40",122,4,1,5
"41",66,3.83333333333333,1.5,4.25
"42",190,3.71428571428571,3.33333333333333,4
"43",137,3.57142857142857,1.33333333333333,4.75
"44",225,3.28571428571429,2.33333333333333,4.5
"45",251,2.85714285714286,2.66666666666667,5
"46",109,5,4.5,5
"47",71,4,1.16666666666667,4
"48",212,5,1.83333333333333,4.5
"49",158,3.71428571428571,1,5
"50",219,3.14285714285714,2.16666666666667,3.5
"51",222,4,3.33333333333333,4.5
"52",50,3.28571428571429,1,3.25
"53",45,4.28571428571429,2.5,5
"54",88,4.42857142857143,4.16666666666667,4.5
"55",164,3.28571428571429,3.83333333333333,4.5
"56",181,3.14285714285714,2.66666666666667,3
"57",228,3.57142857142857,2.16666666666667,4.5
"58",1,4.57142857142857,1.5,5
"59",5,4.28571428571429,3,5
"60",128,2.57142857142857,1.33333333333333,3.25
"61",32,3.57142857142857,1.33333333333333,4.25
"62",143,3,2.16666666666667,4.25
"63",138,4.71428571428571,1.5,4.75
"64",196,2.85714285714286,3.16666666666667,3.5
"65",19,2.57142857142857,1.83333333333333,3.5
"66",202,3.71428571428571,1.5,3.25
"67",163,3.85714285714286,1.33333333333333,4.75
"68",148,3.71428571428571,1.16666666666667,4.75
"69",207,4.28571428571429,2.5,4.25
"70",3,3.71428571428571,1.5,4
"71",171,2.42857142857143,1.66666666666667,3
"72",198,3.85714285714286,1.16666666666667,4
"73",74,4,3.83333333333333,4.75
"74",257,3.42857142857143,3,3.5
"75",114,3.28571428571429,3.16666666666667,4.5
"76",99,3,2.83333333333333,3
"77",22,3,1.5,4.25
"78",243,2.57142857142857,1.83333333333333,3.75
"79",100,4.42857142857143,2.16666666666667,4.5
"80",89,4.42857142857143,4.16666666666667,5
"81",111,4,3.16666666666667,4.5
"82",154,3,2.16666666666667,3
"83",75,4,4.16666666666667,4.25
"84",199,3.42857142857143,2.33333333333333,4.25
"85",34,4.14285714285714,2.83333333333333,4.75
"86",69,3,1.5,3
"87",11,5,2.33333333333333,4.5
"88",77,4.14285714285714,4.16666666666667,4.5
"89",47,4.57142857142857,2.5,4.25
"90",123,3.66666666666667,1.16666666666667,3.75
"91",84,4.5,3.83333333333333,4
"92",147,4.42857142857143,1.5,5
"93",125,4.85714285714286,4,4.5
"94",216,4.14285714285714,2,4.5
"95",121,3.85714285714286,2.33333333333333,4.75
"96",242,3.57142857142857,1.5,4.75
"97",177,3.57142857142857,3,3.75
"98",101,4,2.5,3
"99",78,4.14285714285714,3.33333333333333,4.75
"100",76,4,3.83333333333333,4.5
"101",220,4.57142857142857,1.5,4.75
"102",229,2.14285714285714,1,3.75
"103",239,3.71428571428571,3,4
"104",72,3.85714285714286,3,4
"105",237,4,1.33333333333333,4.5
"106",115,3.28571428571429,1.33333333333333,4.5
"107",187,3.42857142857143,2.16666666666667,3
"108",252,3.28571428571429,1.16666666666667,4
"109",136,4.85714285714286,3.66666666666667,4.5
"110",178,3.57142857142857,2.5,4.25
"111",230,3.57142857142857,1,4.5
"112",106,3.42857142857143,3.83333333333333,5
"113",80,4.14285714285714,3.16666666666667,5
"114",179,4.71428571428571,4.16666666666667,4.5
"115",25,3.85714285714286,1.16666666666667,4.5
"116",56,3.71428571428571,2.83333333333333,4.25
"117",36,3.71428571428571,2,3.75
"118",23,4.42857142857143,3.33333333333333,5
"119",26,4.85714285714286,2.83333333333333,4.75
"120",152,3.42857142857143,1.16666666666667,4.5
"121",214,3.85714285714286,3.16666666666667,4.25
"122",142,4,3.33333333333333,4
"123",168,3.5,1.5,4.5
"124",193,4.42857142857143,3,4.5
"125",248,3.57142857142857,2,5
"126",119,3.71428571428571,2,4.75
"127",231,4.28571428571429,1.83333333333333,4.25
"128",126,2.85714285714286,1.16666666666667,3.75
"129",43,4.57142857142857,2.5,4.25
"130",258,4.14285714285714,2.83333333333333,4.5
"131",94,4.42857142857143,3.5,5
"132",131,3.85714285714286,2.16666666666667,5
"133",14,3.57142857142857,1.5,4.5
"134",54,3.28571428571429,2.33333333333333,4
"135",233,3.57142857142857,1,4.5
"136",205,3.42857142857143,3,5
