Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule_ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,e1,e1-quantised,a1r,a1r-quantised,c1,c1-quantised,n1,n1-quantised,o1,o1-quantised,e2r,e2r-quantised,a2,a2-quantised,c2r,c2r-quantised,n2r,n2r-quantised,o2,o2-quantised,e3,e3-quantised,a3r,a3r-quantised,c3,c3-quantised,n3,n3-quantised,o3,o3-quantised,e4,e4-quantised,a4,a4-quantised,c4r,c4r-quantised,n4,n4-quantised,o4,o4-quantised,e5r,e5r-quantised,a5,a5-quantised,c5r,c5r-quantised,n5r,n5r-quantised,o5,o5-quantised,e6,e6-quantised,a6r,a6r-quantised,c6,c6-quantised,n6,n6-quantised,o6,o6-quantised,e7r,e7r-quantised,a7,a7-quantised,c7,c7-quantised,n7r,n7r-quantised,o7r,o7r-quantised,e8,e8-quantised,a8r,a8r-quantised,c8,c8-quantised,n8,n8-quantised,o8,o8-quantised,o9r,o9r-quantised,a9,a9-quantised,c9r,c9r-quantised,o10,o10-quantised,END QUESTIONNAIRE
1,1.63906E+12,9/12/2021 15:37,1.63906E+12,0,9/12/2021 15:37,13764,4,questionnaire-7tij,,17888171,BLIND,5277391,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1536x864,1536x722,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.64693E+12,10/3/2022 15:37,1.64693E+12,0,10/3/2022 15:37,13764,4,questionnaire-7tij,,20274966,BLIND,6014000,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x700,,,,The Big Five Inventory (BFI) ,2,No,2,2,2,2,5,5,3,3,4,4,4,4,5,5,1,1,3,3,4,4,2,2,2,2,5,5,4,4,4,4,4,4,4,4,1,1,4,4,4,4,5,5,4,4,2,2,2,2,5,5,3,3,3,3,5,5,3,3,3,3,4,4,5,5,5,5,4,4,2,2,1,1,3,3,3,3,4,4,5,5,3,3,3,3,2,2,2,2,83648
1,1.64693E+12,10/3/2022 15:38,1.64693E+12,0,10/3/2022 15:38,13764,4,questionnaire-7tij,,20275027,BLIND,6014013,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x821,,,,The Big Five Inventory (BFI) ,2,No,3,3,3,3,5,5,4,4,4,4,5,5,5,5,1,1,2,2,2,2,3,3,2,2,4,4,5,5,4,4,4,4,3,3,1,1,5,5,4,4,4,4,5,5,2,2,2,2,3,3,3,3,4,4,5,5,4,4,4,4,4,4,5,5,5,5,1,1,4,4,2,2,2,2,4,4,5,5,3,3,2,2,3,3,4,4,4,4,205707
1,1.64693E+12,10/3/2022 15:39,1.64693E+12,0,10/3/2022 15:39,13764,4,questionnaire-7tij,,20275086,BLIND,6014034,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 97.0,1920x1080,1848x968,,,,The Big Five Inventory (BFI) ,2,No,3,3,4,4,3,3,3,3,5,5,2,2,4,4,5,5,1,1,5,5,4,4,2,2,3,3,4,4,4,4,4,4,1,1,5,5,4,4,4,4,2,2,3,3,2,2,1,1,4,4,3,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,2,2,4,4,3,3,2,2,4,4,5,5,4,4,1,1,2,2,4,4,4,4,144391
1,1.70586E+12,21/01/2024 17:39:14,1.70586E+12,0,21/01/2024 17:39:14,13764,4,questionnaire-7tij,,34360980,BLIND,10153852,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1366x768,1366x647,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70585E+12,21/01/2024 14:28:48,1.70585E+12,0,21/01/2024 14:29:40,13764,4,questionnaire-7tij,,34357527,BLIND,10152846,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1440x900,896x649,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70585E+12,21/01/2024 14:15:44,1.70585E+12,0,21/01/2024 14:15:44,13764,4,questionnaire-7tij,,34357369,BLIND,10152802,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1158x765,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70483E+12,9/1/2024 20:21,1.70483E+12,0,9/1/2024 20:21,13764,4,questionnaire-7tij,,34092441,BLIND,10075278,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,767x694,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70473E+12,8/1/2024 16:12,1.70473E+12,0,8/1/2024 16:12,13764,4,questionnaire-7tij,,34020376,BLIND,10064140,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x1024,1232x910,,,,The Big Five Inventory (BFI) ,2,No,5,5,3,3,2,2,2,2,3,3,2,2,4,4,3,3,1,1,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,1,4,4,4,4,1,1,3,3,4,4,2,2,3,3,5,5,5,5,1,1,5,5,4,4,2,2,5,5,5,5,2,2,3,3,4,4,3,3,1,1,4,4,4,4,5,5,169951
1,1.70196E+12,7/12/2023 15:45,1.70196E+12,0,7/12/2023 15:45,13764,4,questionnaire-7tij,,33521314,BLIND,9924597,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x840,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70196E+12,7/12/2023 15:42,1.70196E+12,0,7/12/2023 15:42,13764,4,questionnaire-7tij,,33521236,BLIND,9924568,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1494x934,744x798,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70196E+12,7/12/2023 15:39,1.70196E+12,0,7/12/2023 15:39,13764,4,questionnaire-7tij,,33521146,BLIND,9924542,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x813,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70196E+12,7/12/2023 15:26,1.70196E+12,0,7/12/2023 15:26,13764,4,questionnaire-7tij,,33520620,BLIND,9924386,,live,,,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1536x864,1488x742,,,,The Big Five Inventory (BFI) ,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.70196E+12,7/12/2023 15:18,1.70196E+12,0,7/12/2023 15:18,13764,4,questionnaire-7tij,,33520350,BLIND,9924318,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1500x1000,1452x878,,,,The Big Five Inventory (BFI) ,2,No,4,4,2,2,4,4,2,2,4,4,4,4,4,4,4,4,2,2,5,5,4,4,2,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,2,2,4,4,3,3,4,4,4,4,4,4,2,2,3,3,4,4,5,5,2,2,4,4,4,4,2,2,4,4,4,4,3,3,4,4,4,4,4,4,3,3,5,5,4,4,4,4,140146
1,1.70196E+12,7/12/2023 15:17,1.70196E+12,0,7/12/2023 15:17,13764,4,questionnaire-7tij,,33520322,BLIND,9924312,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x783,,,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,4,4,2,2,4,4,2,2,4,4,4,4,3,3,4,4,4,4,3,3,4,4,2,2,4,4,4,4,5,5,4,4,3,3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,4,4,3,3,4,4,4,4,5,5,4,4,4,4,2,2,4,4,2,2,4,4,3,3,4,4,206011
1,1.70196E+12,7/12/2023 15:14,1.70196E+12,0,7/12/2023 15:14,13764,4,questionnaire-7tij,,33520245,BLIND,9924284,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1536x864,1488x742,,,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,5,5,3,3,4,4,3,3,4,4,2,2,2,2,5,5,3,3,2,2,4,4,3,3,5,5,4,4,4,4,3,3,4,4,4,4,3,3,4,4,2,2,2,2,3,3,4,4,2,2,4,4,4,4,4,4,2,2,4,4,5,5,3,3,4,4,4,4,2,2,3,3,4,4,3,3,2,2,3,3,2,2,3,3,147942
1,1.70196E+12,7/12/2023 15:13,1.70196E+12,0,7/12/2023 15:13,13764,4,questionnaire-7tij,,33520200,BLIND,9924271,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,834x1194,1194x755,,,,The Big Five Inventory (BFI) ,2,No,4,4,2,2,5,5,5,5,2,2,2,2,4,4,5,5,5,5,5,5,4,4,1,1,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,5,5,2,2,5,5,5,5,5,5,1,1,5,5,1,1,4,4,4,4,5,5,4,4,2,2,4,4,3,3,3,3,2,2,5,5,5,5,1,1,5,5,4,4,5,5,595212
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520184,BLIND,9924266,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1512x982,1512x828,,,,The Big Five Inventory (BFI) ,2,No,3,3,3,3,5,5,2,2,4,4,4,4,4,4,2,2,4,4,5,5,4,4,2,2,5,5,3,3,4,4,4,4,4,4,1,1,4,4,5,5,4,4,5,5,2,2,4,4,4,4,2,2,2,2,5,5,3,3,5,5,4,4,4,4,4,4,4,4,3,3,4,4,2,2,4,4,3,3,4,4,1,1,4,4,2,2,5,5,144297
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520183,BLIND,9924265,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1280x682,,,,The Big Five Inventory (BFI) ,2,No,4,4,3,3,2,2,4,4,5,5,2,2,4,4,4,4,5,5,5,5,3,3,2,2,4,4,2,2,5,5,4,4,5,5,5,5,2,2,5,5,2,2,2,2,4,4,3,3,5,5,5,5,3,3,4,4,4,4,5,5,4,4,5,5,4,4,5,5,2,2,5,5,4,4,4,4,2,2,5,5,1,1,4,4,5,5,4,4,215071
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520179,BLIND,9924264,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x814,,,,The Big Five Inventory (BFI) ,2,No,3,3,2,2,3,3,3,3,4,4,4,4,4,4,5,5,2,2,5,5,2,2,1,1,4,4,1,1,5,5,2,2,5,5,5,5,5,5,5,5,3,3,4,4,4,4,2,2,3,3,4,4,4,4,2,2,4,4,4,4,2,2,4,4,2,2,3,3,2,2,3,3,1,1,2,2,4,4,5,5,2,2,4,4,5,5,4,4,269309
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520177,BLIND,9924262,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1470x956,1230x778,,,,The Big Five Inventory (BFI) ,2,No,2,2,2,2,5,5,4,4,4,4,4,4,4,4,3,3,2,2,5,5,3,3,2,2,4,4,4,4,5,5,4,4,4,4,2,2,5,5,5,5,4,4,3,3,2,2,2,2,3,3,4,4,2,2,5,5,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,2,2,5,5,5,5,4,4,2,2,4,4,2,2,5,5,224524
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520175,BLIND,9924261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1477x831,1478x676,,,,The Big Five Inventory (BFI) ,2,No,3,3,4,4,2,2,4,4,4,4,3,3,4,4,5,5,5,5,5,5,4,4,1,1,5,5,2,2,5,5,4,4,5,5,2,2,1,1,5,5,4,4,5,5,5,5,5,5,2,2,4,4,5,5,4,4,2,2,4,4,4,4,2,2,1,1,4,4,2,2,3,3,1,1,1,1,1,1,5,5,4,4,2,2,2,2,2,2,178349
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520174,BLIND,9924260,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,820x1180,1180x713,,,,The Big Five Inventory (BFI) ,2,No,3,3,3,3,4,4,2,2,3,3,5,5,4,4,4,4,3,3,5,5,3,3,1,1,4,4,4,4,5,5,3,3,4,4,2,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,1,1,4,4,4,4,4,4,5,5,4,4,4,4,3,3,5,5,3,3,4,4,3,3,5,5,5,5,3,3,3,3,4,4,2,2,244983
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520172,BLIND,9924259,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.1,1470x956,1470x840,,,,The Big Five Inventory (BFI) ,2,No,2,2,1,1,4,4,1,1,3,3,3,3,4,4,2,2,4,4,5,5,2,2,1,1,5,5,3,3,4,4,2,2,4,4,1,1,1,1,2,2,5,5,5,5,1,1,4,4,4,4,4,4,2,2,4,4,1,1,4,4,5,5,4,4,4,4,5,5,5,5,2,2,2,2,5,5,2,2,4,4,2,2,4,4,2,2,3,3,271957
1,1.70196E+12,7/12/2023 15:12,1.70196E+12,0,7/12/2023 15:12,13764,4,questionnaire-7tij,,33520169,BLIND,9924258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1512x982,1512x828,,,,The Big Five Inventory (BFI) ,2,No,3,3,2,2,4,4,1,1,5,5,2,2,4,4,2,2,3,3,4,4,4,4,1,1,5,5,3,3,4,4,4,4,3,3,1,1,3,3,5,5,3,3,4,4,1,1,5,5,4,4,4,4,3,3,4,4,2,2,5,5,3,3,3,3,3,3,2,2,4,4,3,3,1,1,4,4,2,2,4,4,1,1,4,4,2,2,5,5,116740
