ID,age,gender,aut_support,int_mot,energy
1,33,1,6.333333333,5.533333333,4.333333333
2,33,1,4.666666667,6.3,7
3,34,1,4.333333333,5.9,6.666666667
4,34,1,5,5.433333333,4.333333333
5,34,1,5,5.066666667,6.666666667
6,34,1,4.666666667,5.666666667,5.666666667
7,34,1,4,3,4
8,34,1,5,5.633333333,5.333333333
9,34,1,4.666666667,6.266666667,7
10,34,1,6.333333333,6.066666667,5
11,34,1,5.333333333,5.433333333,5.666666667
12,34,1,5.666666667,5.866666667,6
13,34,1,6.666666667,6.2,6.666666667
14,34,1,7,5.966666667,4.666666667
15,34,1,4.666666667,5.833333333,4
16,34,1,4.666666667,4.133333333,4.666666667
17,33,1,5.666666667,5.466666667,4.666666667
18,33,1,7,6.7,6
19,33,1,6.333333333,6.4,6.333333333
20,33,1,6,5.044444444,7
21,33,1,4.666666667,5.366666667,6
22,34,1,4.666666667,4.766666667,6.666666667
23,34,1,3.333333333,4.066666667,7
24,33,1,5.333333333,5.466666667,6
25,34,1,6.666666667,5.666666667,4.333333333
26,34,1,6.666666667,6,6.666666667
27,33,1,7,6.933333333,7
28,34,1,7,6.866666667,6
29,34,1,6,5.5,4.666666667
30,34,1,6,5.5,7
31,34,1,5.666666667,5.166666667,5.333333333
32,34,1,4.666666667,4.925925926,6
33,34,1,5,5.233333333,3.333333333
34,34,1,6.333333333,6,6
35,34,1,5.666666667,6.266666667,4.333333333
36,34,1,6.333333333,6.333333333,6
37,34,1,3.666666667,6.277777778,5.333333333
38,34,1,7,6.6,6
39,34,1,6,4.466666667,5.666666667
40,33,1,2.333333333,3.15,6.333333333
41,33,1,3.666666667,3.2,6.666666667
42,34,1,4,4.6,4
43,34,1,2,5.733333333,5.666666667
44,33,1,2,5.25,5.666666667
45,33,1,2.666666667,5.133333333,4.666666667
46,34,1,5.666666667,4.9,6
47,35,1,7,6.933333333,6
48,35,1,7,6.733333333,3.333333333
49,36,1,7,6.766666667,5.666666667
50,36,1,4,5.433333333,7
51,35,1,7,6.033333333,6
52,35,2,6.333333333,6.6,5
53,35,2,5,6.766666667,4.555555556
54,35,2,6.333333333,5.633333333,4.333333333
55,35,2,5.333333333,6.4,7
56,34,2,5.333333333,5.9,6
57,36,2,6,5.466666667,4.666666667
58,36,2,5.333333333,6.7,7
59,35,2,6,5.966666667,5.333333333
60,34,1,7,6.037037037,4.666666667
61,34,1,7,6.5,5.666666667
62,34,1,5.666666667,6.4,6
63,34,1,2,4.166666667,4.666666667
64,35,1,5.666666667,5.3,6
65,36,1,5,5.433333333,5.666666667
66,35,1,5.666666667,5.666666667,6
67,35,1,6,5.033333333,5
68,35,1,5.666666667,5.066666667,4.666666667
69,35,1,5,4.9,4.333333333
70,35,1,5.666666667,5.166666667,6.333333333
71,36,1,5.666666667,4.2,5
72,35,1,5,4.466666667,3.333333333
73,35,2,6.333333333,6.166666667,6.333333333
74,36,2,6,5.9,5.333333333
75,36,2,5,4.1,3
76,35,2,4.333333333,6.133333333,4
77,35,2,5.666666667,5.966666667,6
78,32,2,4.666666667,6.1,7
79,35,2,5,4.366666667,5.666666667
80,31,2,4,3.027777778,3
81,35,2,4,4.866666667,4
82,35,2,6.333333333,4.083333333,4.666666667
83,35,2,4.333333333,4.4,6.333333333
84,35,2,2,5.55,3
85,34,2,3.333333333,5.3,5
86,31,2,2.757575758,3.7,4.666666667
87,36,2,6.666666667,5.966666667,3
88,31,2,5.333333333,5.033333333,5
89,35,2,4,4,4
90,32,2,4,5.1,5.666666667
91,32,2,4.666666667,5.033333333,3.666666667
92,36,2,4,3.9,4.333333333
93,37,2,5.333333333,6.066666667,6.333333333
94,37,2,4.333333333,4.433333333,5.666666667
95,37,2,1,3.133333333,1.666666667
96,37,2,6.333333333,4.933333333,5
97,36,2,4,5.8,3
98,37,2,7,6.6,4
99,35,2,6,4.033333333,4.666666667
100,35,2,4.666666667,3.6,4
101,36,1,2.666666667,5.1,5.666666667
102,35,1,6.333333333,5.8,5
103,35,1,3.333333333,4.633333333,5.666666667
104,35,1,5.666666667,4.9,5
105,34,1,3.666666667,4.433333333,6
106,34,1,5.666666667,5.566666667,5.666666667
107,36,1,5.666666667,5.766666667,6
108,39,1,5,5,5.666666667
109,38,1,5.666666667,4.2,4.666666667
110,38,1,5.666666667,5.966666667,5.666666667
111,38,1,6.333333333,5.6,5.666666667
112,39,1,7,6.4,6
113,39,1,2.666666667,4.433333333,4.666666667
114,33,1,3.666666667,4.3,5
115,39,1,5,5.166666667,4.333333333
116,39,1,5,6.366666667,6
117,33,1,6,5.833333333,6
118,36,1,5.666666667,4.433333333,3.666666667
119,34,1,6.666666667,5.3,6
120,34,1,6.333333333,6.466666667,5
121,35,1,5,6.433333333,6
122,35,1,7,5.433333333,6.333333333
123,34,1,6.666666667,5.566666667,7
124,35,1,6.333333333,6.4,4.333333333
125,34,1,3.333333333,4.466666667,4.722222222
126,34,1,4.666666667,5.566666667,5.333333333
127,35,1,7,6.166666667,7
128,34,1,4.333333333,4.9,5.666666667
129,37,1,5,4.533333333,4.666666667
130,37,1,4.333333333,6.033333333,5.333333333
131,35,1,3.333333333,5.033333333,4
132,36,1,7,6,5.333333333
133,36,1,6,5.266666667,6
134,36,1,6,5.733333333,4.666666667
135,36,2,5.666666667,5.333333333,5.666666667
136,36,2,6,5.933333333,6
137,36,2,4.666666667,4.733333333,4.333333333
138,36,2,4,4.303703704,2.611111111
139,37,2,6,6.2,4.666666667
140,36,2,6,4.933333333,4
141,35,2,6.333333333,5.233333333,4.333333333
142,34,1,3,4.833333333,4
143,34,1,5,5.933333333,6
144,35,1,4.666666667,4.733333333,5.333333333
145,35,1,7,6,5.666666667
146,35,1,6.333333333,5.866666667,5
147,34,1,4,4.433333333,5
148,34,1,5,5.266666667,5.333333333
149,35,1,4.333333333,4.7,5
150,34,1,6.333333333,6.233333333,6
151,34,1,6.666666667,6.766666667,5.444444444
152,34,1,6,5.7,5.333333333
153,34,1,6.696969697,6.433333333,5
154,36,1,7,5.566666667,6
155,34,1,4.333333333,5.033333333,5
156,34,1,7,6.033333333,4.333333333
157,34,1,3,4.4,5
158,34,1,5.333333333,5.7,6.666666667
159,34,1,4,5,7
160,34,1,5,6.433333333,7
161,34,1,4,3.6,3
162,34,1,5.666666667,5.016666667,4.333333333
163,34,1,3,4.5,5
164,34,1,5,4.933333333,4.333333333
165,34,1,3.333333333,3.9,5.333333333
166,33,1,7,6.466666667,5
167,33,1,5,5.466666667,5
168,33,1,7,7,5
169,33,1,6,5.066666667,6
