Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,STRESS1,STRESS1-quantised,STRESS2,STRESS2-quantised,STRESS3,STRESS3-quantised,STRESS4,STRESS4-quantised,STRESS5,STRESS5-quantised,STRESS6,STRESS6-quantised,STRESS7,STRESS7-quantised,SOP1,SOP1-quantised,SPP1,SPP1-quantised,SOP2,SOP2-quantised,SPP2,SPP2-quantised,SPP3,SPP3-quantised,SOP3,SOP3-quantised,SOP4,SOP4-quantised,SPP4,SPP4-quantised,HOURS_WORK,HOURS_LV,END QUESTIONNAIRE
1,1580126258272,27/01/2020 11:57:38,1580126259551,0,27/01/2020 11:57:39,12509,2,questionnaire-vjv6,,3795972,BLIND,1071208,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.117,1368x912,1368x770,,Lab Questionnaire,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,5,5,6,6,6,6,6,6,5,5,6,6,6,6,7,7,65,31,23597
1,1580132338849,27/01/2020 13:38:58,1580132340115,0,27/01/2020 13:39:00,12509,2,questionnaire-vjv6,,3796590,BLIND,1071392,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.1.2,1440x900,1440x722,,Lab Questionnaire,4,2,2,2,2,2,2,2,2,3,3,1,1,2,2,6,6,3,3,6,6,4,4,1,1,3,3,6,6,2,2,16,0,71049
1,1580133369152,27/01/2020 13:56:09,1580133367802,0,27/01/2020 13:56:07,12509,2,questionnaire-vjv6,,3796782,BLIND,1071437,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1280x720,588x582,,Lab Questionnaire,4,4,4,4,4,4,4,3,3,4,4,1,1,4,4,3,3,6,6,4,4,4,4,2,2,5,5,2,2,2,2,15,0,575739
1,1580133511021,27/01/2020 13:58:31,1580133511260,0,27/01/2020 13:58:31,12509,2,questionnaire-vjv6,,3796802,BLIND,1071442,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1280x720,1280x587,,Lab Questionnaire,4,2,2,1,1,2,2,3,3,2,2,3,3,5,5,1,1,2,2,7,7,2,2,1,1,4,4,7,7,1,1,5,0,180514
1,1580134124529,27/01/2020 14:08:44,1580134122957,0,27/01/2020 14:08:42,12509,2,questionnaire-vjv6,,3796908,BLIND,1071464,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Safari 12.0,1440x900,1440x837,,Lab Questionnaire,4,5,5,4,4,4,4,2,2,3,3,4,4,2,2,7,7,6,6,7,7,5,5,3,3,7,7,7,7,2,2,15,0,141931
1,1580134276759,27/01/2020 14:11:16,1580134276658,0,27/01/2020 14:11:16,12509,2,questionnaire-vjv6,,3796949,BLIND,1071481,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Safari 12.0.3,1440x900,1440x837,,Lab Questionnaire,4,3,3,4,4,2,2,2,2,2,2,4,4,5,5,5,5,6,6,6,6,6,6,3,3,6,6,5,5,3,3,12,0,101695
1,1580134568344,27/01/2020 14:16:08,1580134567527,0,27/01/2020 14:16:07,12509,2,questionnaire-vjv6,,3797054,BLIND,1071504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1920x1080,1920x888,,Lab Questionnaire,4,4,4,2,2,3,3,4,4,3,3,4,4,4,4,5,5,2,2,6,6,2,2,2,2,6,6,6,6,2,2,51,0,479612
1,1580134617191,27/01/2020 14:16:57,1580134617071,0,27/01/2020 14:16:57,12509,2,questionnaire-vjv6,,3797074,BLIND,1071510,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 79.0.3945.117,1440x900,1440x820,,Lab Questionnaire,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,3,3,3,3,5,5,5,5,3,3,65,0,139765
1,1580134629205,27/01/2020 14:17:09,1580134597244,0,27/01/2020 14:16:37,12509,2,questionnaire-vjv6,,3797080,BLIND,1071511,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Safari 13.0.4,1440x900,835x759,,Lab Questionnaire,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,5,5,3,3,5,5,3,3,2,2,6,6,5,5,2,2,36,0,101166
1,1580134645591,27/01/2020 14:17:25,1580134645523,0,27/01/2020 14:17:25,12509,2,questionnaire-vjv6,,3797087,BLIND,1071512,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.3,Chrome 76.0.3809.132,1440x900,1440x680,,Lab Questionnaire,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,5,5,5,5,5,5,4,4,2,2,3,3,4,4,4,4,7,11,98790
1,1580134652553,27/01/2020 14:17:32,1580134652429,0,27/01/2020 14:17:32,12509,2,questionnaire-vjv6,,3797089,BLIND,1071513,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 79.0.3945.130,1440x900,1045x742,,Lab Questionnaire,4,4,4,4,4,1,1,5,5,4,4,2,2,4,4,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,20,0,250559
1,1580134825443,27/01/2020 14:20:25,1580134825313,0,27/01/2020 14:20:25,12509,2,questionnaire-vjv6,,3797129,BLIND,1071519,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.1.2,1440x900,1440x900,,Lab Questionnaire,4,5,5,5,5,5,5,3,3,4,4,3,3,4,4,6,6,3,3,5,5,4,4,2,2,3,3,6,6,3,3,4,13,101294
1,1580134885797,27/01/2020 14:21:25,1580134939494,0,27/01/2020 14:22:19,12509,2,questionnaire-vjv6,,3797143,BLIND,1071525,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1707x1067,1644x996,,Lab Questionnaire,4,4,4,4,4,3,3,5,5,3,3,2,2,3,3,5,5,5,5,6,6,3,3,4,4,3,3,5,5,2,2,45,0,167846
1,1580134921837,27/01/2020 14:22:01,1580134921767,0,27/01/2020 14:22:01,12509,2,questionnaire-vjv6,,3797155,BLIND,1071530,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.4,1440x900,1427x758,,Lab Questionnaire,4,2,2,4,4,4,4,3,3,4,4,3,3,4,4,5,5,3,3,6,6,3,3,2,2,4,4,5,5,1,1,19,13,237525
1,1580135021350,27/01/2020 14:23:41,1580135022223,0,27/01/2020 14:23:42,12509,2,questionnaire-vjv6,,3797185,BLIND,1071540,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 79.0.3945.130,1536x864,1536x722,,Lab Questionnaire,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,5,5,1,1,4,4,1,1,1,1,4,4,5,5,1,1,33,1,147228
1,1580135029836,27/01/2020 14:23:49,1580135029754,0,27/01/2020 14:23:49,12509,2,questionnaire-vjv6,,3797190,BLIND,1071541,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 79.0.3945.79,1440x900,718x789,,Lab Questionnaire,4,3,3,4,4,3,3,4,4,4,4,3,3,4,4,5,5,5,5,5,5,3,3,3,3,4,4,4,4,3,3,24,0,168630
1,1580135160628,27/01/2020 14:26:00,1580135160530,0,27/01/2020 14:26:00,12509,2,questionnaire-vjv6,,3797244,BLIND,1071567,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 79.0.3945.88,1440x900,878x689,,Lab Questionnaire,4,5,5,2,2,2,2,4,4,4,4,2,2,4,4,7,7,4,4,6,6,2,2,4,4,2,2,5,5,1,1,30,0,233327
